No Transaksi	Jenis Transaksi	Tanggal	Nama Pelanggan	Kode Produk	Nama Produk	Jumlah	Harga
104	Stok Masuk	19-04-2020	-	Item-09	Roti Tawar	11	-
105	Penjualan	19-04-2020	Asep	Item-01	Batere AA	4	12000
105	Penjualan	19-04-2020	Asep	Item-02	Bawang Putih 200 gram	1	15000
105	Penjualan	19-04-2020	Asep	Item-03	Gula Pasir Putih 1 kg	3	12500
105	Penjualan	19-04-2020	Asep	Item-05	Mi Goreng Instant	1	2600
105	Penjualan	19-04-2020	Asep	Item-08	Vitamin C	3	2000
106	Penjualan	19-04-2020	Bella	Item-08	Vitamin C	3	2000
107	Penjualan	19-04-2020	Indah	Item-08	Vitamin C	4	2000
108	Penjualan	19-04-2020	Iqbal	Item-02	Bawang Putih 200 gram	1	15000
108	Penjualan	19-04-2020	Iqbal	Item-03	Gula Pasir Putih 1 kg	2	12500
108	Penjualan	19-04-2020	Iqbal	Item-09	Roti Tawar	2	12500
108	Penjualan	19-04-2020	Iqbal	Item-17	Obat Batuk	4	5000
109	Penjualan	19-04-2020	Mahmud	Item-01	Batere AA	1	12000
109	Penjualan	19-04-2020	Mahmud	Item-02	Bawang Putih 200 gram	2	15000
109	Penjualan	19-04-2020	Mahmud	Item-03	Gula Pasir Putih 1 kg	4	12500
109	Penjualan	19-04-2020	Mahmud	Item-05	Mi Goreng Instant	3	2600
109	Penjualan	19-04-2020	Mahmud	Item-08	Vitamin C	4	2000
110	Penjualan	19-04-2020	Putra	Item-08	Vitamin C	4	2000
111	Penjualan	19-04-2020	Rahma	Item-08	Vitamin C	3	2000
112	Penjualan	19-04-2020	Rahmad	Item-02	Bawang Putih 200 gram	1	15000
112	Penjualan	19-04-2020	Rahmad	Item-03	Gula Pasir Putih 1 kg	4	12500
112	Penjualan	19-04-2020	Rahmad	Item-05	Mi Goreng Instant	1	2600
112	Penjualan	19-04-2020	Rahmad	Item-08	Vitamin C	4	2000
113	Penjualan	19-04-2020	Randi	Item-08	Vitamin C	2	2000
114	Penjualan	19-04-2020	Rita	Item-02	Bawang Putih 200 gram	3	15000
114	Penjualan	19-04-2020	Rita	Item-03	Gula Pasir Putih 1 kg	2	12500
114	Penjualan	19-04-2020	Rita	Item-05	Mi Goreng Instant	1	2600
114	Penjualan	19-04-2020	Rita	Item-08	Vitamin C	3	2000
115	Penjualan	19-04-2020	Rizki	Item-02	Bawang Putih 200 gram	4	15000
115	Penjualan	19-04-2020	Rizki	Item-03	Gula Pasir Putih 1 kg	2	12500
115	Penjualan	19-04-2020	Rizki	Item-05	Mi Goreng Instant	1	2600
115	Penjualan	19-04-2020	Rizki	Item-09	Roti Tawar	4	12500
116	Penjualan	19-04-2020	Sarah	Item-05	Mi Goreng Instant	3	2600
116	Penjualan	19-04-2020	Sarah	Item-08	Vitamin C	4	2000
117	Penjualan	19-04-2020	Siti	Item-05	Mi Goreng Instant	1	2600
117	Penjualan	19-04-2020	Siti	Item-08	Vitamin C	3	2000
118	Penjualan	19-04-2020	Tasya	Item-08	Vitamin C	4	2000
119	Penjualan	19-04-2020	Tiara	Item-08	Vitamin C	2	2000
120	Penjualan	19-04-2020	Tri	Item-02	Bawang Putih 200 gram	3	15000
120	Penjualan	19-04-2020	Tri	Item-03	Gula Pasir Putih 1 kg	3	12500
120	Penjualan	19-04-2020	Tri	Item-05	Mi Goreng Instant	3	2600
120	Penjualan	19-04-2020	Tri	Item-08	Vitamin C	2	2000
121	Penjualan	19-04-2020	Yansen	Item-03	Gula Pasir Putih 1 kg	1	12500
121	Penjualan	19-04-2020	Yansen	Item-05	Mi Goreng Instant	4	2600
121	Penjualan	19-04-2020	Yansen	Item-08	Vitamin C	2	2000
122	Penjualan	19-04-2020	Yati	Item-05	Mi Goreng Instant	3	2600
122	Penjualan	19-04-2020	Yati	Item-08	Vitamin C	3	2000
123	Penjualan	19-04-2020	Yuli	Item-05	Mi Goreng Instant	4	2600
123	Penjualan	19-04-2020	Yuli	Item-08	Vitamin C	2	2000
124	Penjualan	19-04-2020	Zaki	Item-03	Gula Pasir Putih 1 kg	2	12500
124	Penjualan	19-04-2020	Zaki	Item-05	Mi Goreng Instant	1	2600
124	Penjualan	19-04-2020	Zaki	Item-08	Vitamin C	1	2000
125	Stok Masuk	20-04-2020	-	Item-02	Bawang Putih 200 gram	40	-
125	Stok Masuk	20-04-2020	-	Item-14	Teh Celup Melati	20	-
125	Stok Masuk	20-04-2020	-	Item-18	Telur Ayam Negeri	66	-
125	Stok Masuk	20-04-2020	-	Item-20	Gunting Kuku	18	-
126	Penjualan	20-04-2020	Anggun	Item-14	Teh Celup Melati	1	7800
126	Penjualan	20-04-2020	Anggun	Item-17	Obat Batuk	1	5000
127	Penjualan	20-04-2020	Ardi	Item-01	Batere AA	1	12000
127	Penjualan	20-04-2020	Ardi	Item-02	Bawang Putih 200 gram	4	15000
127	Penjualan	20-04-2020	Ardi	Item-03	Gula Pasir Putih 1 kg	2	12500
127	Penjualan	20-04-2020	Ardi	Item-14	Teh Celup Melati	4	7800
127	Penjualan	20-04-2020	Ardi	Item-17	Obat Batuk	1	5000
128	Penjualan	20-04-2020	Ayu	Item-02	Bawang Putih 200 gram	4	15000
128	Penjualan	20-04-2020	Ayu	Item-03	Gula Pasir Putih 1 kg	1	12500
128	Penjualan	20-04-2020	Ayu	Item-09	Roti Tawar	2	12500
128	Penjualan	20-04-2020	Ayu	Item-14	Teh Celup Melati	4	7800
129	Penjualan	20-04-2020	Citra	Item-03	Gula Pasir Putih 1 kg	2	12500
129	Penjualan	20-04-2020	Citra	Item-17	Obat Batuk	3	5000
129	Penjualan	20-04-2020	Citra	Item-18	Telur Ayam Negeri	4	1700
130	Penjualan	20-04-2020	Deni	Item-03	Gula Pasir Putih 1 kg	3	12500
130	Penjualan	20-04-2020	Deni	Item-17	Obat Batuk	2	5000
130	Penjualan	20-04-2020	Deni	Item-18	Telur Ayam Negeri	3	1700
131	Penjualan	20-04-2020	Feri	Item-18	Telur Ayam Negeri	2	1700
132	Penjualan	20-04-2020	Fitri	Item-01	Batere AA	4	12000
132	Penjualan	20-04-2020	Fitri	Item-02	Bawang Putih 200 gram	1	15000
132	Penjualan	20-04-2020	Fitri	Item-03	Gula Pasir Putih 1 kg	3	12500
132	Penjualan	20-04-2020	Fitri	Item-14	Teh Celup Melati	2	7800
132	Penjualan	20-04-2020	Fitri	Item-17	Obat Batuk	1	5000
133	Penjualan	20-04-2020	Kardi	Item-02	Bawang Putih 200 gram	4	15000
133	Penjualan	20-04-2020	Kardi	Item-03	Gula Pasir Putih 1 kg	3	12500
133	Penjualan	20-04-2020	Kardi	Item-17	Obat Batuk	1	5000
133	Penjualan	20-04-2020	Kardi	Item-18	Telur Ayam Negeri	2	1700
134	Penjualan	20-04-2020	Komang	Item-09	Roti Tawar	3	12500
134	Penjualan	20-04-2020	Komang	Item-14	Teh Celup Melati	1	7800
135	Penjualan	20-04-2020	Krisda	Item-17	Obat Batuk	4	5000
136	Penjualan	20-04-2020	Marta	Item-01	Batere AA	4	12000
136	Penjualan	20-04-2020	Marta	Item-02	Bawang Putih 200 gram	2	15000
136	Penjualan	20-04-2020	Marta	Item-03	Gula Pasir Putih 1 kg	3	12500
136	Penjualan	20-04-2020	Marta	Item-14	Teh Celup Melati	2	7800
136	Penjualan	20-04-2020	Marta	Item-17	Obat Batuk	3	5000
137	Penjualan	20-04-2020	Mita, Mira	Item-02	Bawang Putih 200 gram	3	15000
137	Penjualan	20-04-2020	Mita, Mira	Item-03	Gula Pasir Putih 1 kg	4	12500
137	Penjualan	20-04-2020	Mita, Mira	Item-14	Teh Celup Melati	4	7800
137	Penjualan	20-04-2020	Mita, Mira	Item-17	Obat Batuk	2	5000
138	Penjualan	20-04-2020	Nita	Item-03	Gula Pasir Putih 1 kg	2	12500
138	Penjualan	20-04-2020	Nita	Item-14	Teh Celup Melati	1	7800
138	Penjualan	20-04-2020	Nita	Item-17	Obat Batuk	4	5000
139	Penjualan	20-04-2020	Nur	Item-17	Obat Batuk	3	5000
139	Penjualan	20-04-2020	Nur	Item-18	Telur Ayam Negeri	4	1700
140	Penjualan	20-04-2020	Putri	Item-17	Obat Batuk	2	5000
140	Penjualan	20-04-2020	Putri	Item-18	Telur Ayam Negeri	1	1700
141	Penjualan	20-04-2020	Rafi	Item-03	Gula Pasir Putih 1 kg	3	12500
141	Penjualan	20-04-2020	Rafi	Item-14	Teh Celup Melati	1	7800
141	Penjualan	20-04-2020	Rafi	Item-17	Obat Batuk	2	5000
142	Penjualan	20-04-2020	Rasyid	Item-03	Gula Pasir Putih 1 kg	1	12500
142	Penjualan	20-04-2020	Rasyid	Item-17	Obat Batuk	4	5000
142	Penjualan	20-04-2020	Rasyid	Item-18	Telur Ayam Negeri	4	1700
143	Penjualan	20-04-2020	Rian	Item-03	Gula Pasir Putih 1 kg	1	12500
143	Penjualan	20-04-2020	Rian	Item-17	Obat Batuk	1	5000
143	Penjualan	20-04-2020	Rian	Item-18	Telur Ayam Negeri	2	1700
144	Stok Masuk	21-04-2020	-	Item-06	Sabun Mandi Cair 100 ml	57	-
144	Stok Masuk	21-04-2020	-	Item-09	Roti Tawar	18	-
144	Stok Masuk	21-04-2020	-	Item-15	Ketan Hitam 500 gram	23	-
145	Penjualan	21-04-2020	Andika	Item-15	Ketan Hitam 500 gram	3	18000
146	Penjualan	21-04-2020	Bagus	Item-02	Bawang Putih 200 gram	2	15000
146	Penjualan	21-04-2020	Bagus	Item-03	Gula Pasir Putih 1 kg	1	12500
146	Penjualan	21-04-2020	Bagus	Item-06	Sabun Mandi Cair 100 ml	4	10500
146	Penjualan	21-04-2020	Bagus	Item-09	Roti Tawar	2	12500
147	Penjualan	21-04-2020	Farah	Item-06	Sabun Mandi Cair 100 ml	4	10500
147	Penjualan	21-04-2020	Farah	Item-09	Roti Tawar	2	12500
148	Penjualan	21-04-2020	Sarah	Item-09	Roti Tawar	3	12500
149	Penjualan	21-04-2020	Silvia	Item-03	Gula Pasir Putih 1 kg	2	12500
149	Penjualan	21-04-2020	Silvia	Item-06	Sabun Mandi Cair 100 ml	3	10500
149	Penjualan	21-04-2020	Silvia	Item-09	Roti Tawar	2	12500
150	Penjualan	21-04-2020	Tia	Item-01	Batere AA	4	12000
150	Penjualan	21-04-2020	Tia	Item-02	Bawang Putih 200 gram	1	15000
150	Penjualan	21-04-2020	Tia	Item-03	Gula Pasir Putih 1 kg	3	12500
150	Penjualan	21-04-2020	Tia	Item-06	Sabun Mandi Cair 100 ml	4	10500
150	Penjualan	21-04-2020	Tia	Item-09	Roti Tawar	3	12500
151	Penjualan	21-04-2020	Ujang	Item-09	Roti Tawar	2	12500
152	Penjualan	21-04-2020	Wardi	Item-03	Gula Pasir Putih 1 kg	1	12500
152	Penjualan	21-04-2020	Wardi	Item-06	Sabun Mandi Cair 100 ml	2	10500
152	Penjualan	21-04-2020	Wardi	Item-15	Ketan Hitam 500 gram	4	18000
153	Penjualan	21-04-2020	Wulan	Item-02	Bawang Putih 200 gram	4	15000
153	Penjualan	21-04-2020	Wulan	Item-03	Gula Pasir Putih 1 kg	3	12500
153	Penjualan	21-04-2020	Wulan	Item-06	Sabun Mandi Cair 100 ml	1	10500
153	Penjualan	21-04-2020	Wulan	Item-09	Roti Tawar	4	12500
154	Stok Masuk	22-04-2020	-	Item-02	Bawang Putih 200 gram	24	-
154	Stok Masuk	22-04-2020	-	Item-07	Sabut Cuci Piring	15	-
155	Penjualan	22-04-2020	Agus	Item-07	Sabut Cuci Piring	3	7500
156	Penjualan	22-04-2020	Andi	Item-01	Batere AA	4	12000
156	Penjualan	22-04-2020	Andi	Item-02	Bawang Putih 200 gram	3	15000
156	Penjualan	22-04-2020	Andi	Item-03	Gula Pasir Putih 1 kg	1	12500
156	Penjualan	22-04-2020	Andi	Item-06	Sabun Mandi Cair 100 ml	3	10500
156	Penjualan	22-04-2020	Andi	Item-15	Ketan Hitam 500 gram	3	18000
157	Penjualan	22-04-2020	Bayu	Item-15	Ketan Hitam 500 gram	2	18000
158	Penjualan	22-04-2020	Fitri	Item-03	Gula Pasir Putih 1 kg	4	12500
158	Penjualan	22-04-2020	Fitri	Item-06	Sabun Mandi Cair 100 ml	3	10500
158	Penjualan	22-04-2020	Fitri	Item-15	Ketan Hitam 500 gram	2	18000
159	Penjualan	22-04-2020	Gunawan	Item-07	Sabut Cuci Piring	3	7500
160	Penjualan	22-04-2020	Hadi	Item-03	Gula Pasir Putih 1 kg	1	12500
160	Penjualan	22-04-2020	Hadi	Item-06	Sabun Mandi Cair 100 ml	1	10500
160	Penjualan	22-04-2020	Hadi	Item-07	Sabut Cuci Piring	2	7500
161	Penjualan	22-04-2020	Indah	Item-01	Batere AA	2	12000
161	Penjualan	22-04-2020	Indah	Item-02	Bawang Putih 200 gram	2	15000
161	Penjualan	22-04-2020	Indah	Item-03	Gula Pasir Putih 1 kg	1	12500
161	Penjualan	22-04-2020	Indah	Item-06	Sabun Mandi Cair 100 ml	1	10500
161	Penjualan	22-04-2020	Indah	Item-15	Ketan Hitam 500 gram	2	18000
162	Penjualan	22-04-2020	Jaya	Item-01	Batere AA	4	12000
162	Penjualan	22-04-2020	Jaya	Item-02	Bawang Putih 200 gram	4	15000
162	Penjualan	22-04-2020	Jaya	Item-03	Gula Pasir Putih 1 kg	1	12500
162	Penjualan	22-04-2020	Jaya	Item-06	Sabun Mandi Cair 100 ml	1	10500
162	Penjualan	22-04-2020	Jaya	Item-15	Ketan Hitam 500 gram	1	18000
163	Penjualan	22-04-2020	Lestari	Item-07	Sabut Cuci Piring	1	7500
164	Penjualan	22-04-2020	Rizki	Item-06	Sabun Mandi Cair 100 ml	1	10500
164	Penjualan	22-04-2020	Rizki	Item-15	Ketan Hitam 500 gram	2	18000
165	Penjualan	22-04-2020	Sandi	Item-06	Sabun Mandi Cair 100 ml	3	10500
165	Penjualan	22-04-2020	Sandi	Item-15	Ketan Hitam 500 gram	1	18000
166	Penjualan	22-04-2020	Sri	Item-07	Sabut Cuci Piring	3	7500
167	Penjualan	22-04-2020	Tiara	Item-03	Gula Pasir Putih 1 kg	3	12500
167	Penjualan	22-04-2020	Tiara	Item-06	Sabun Mandi Cair 100 ml	1	10500
167	Penjualan	22-04-2020	Tiara	Item-15	Ketan Hitam 500 gram	2	18000
168	Penjualan	22-04-2020	Yudhi	Item-15	Ketan Hitam 500 gram	1	18000
169	Penjualan	22-04-2020	Yuli	Item-02	Bawang Putih 200 gram	1	15000
169	Penjualan	22-04-2020	Yuli	Item-03	Gula Pasir Putih 1 kg	1	12500
169	Penjualan	22-04-2020	Yuli	Item-06	Sabun Mandi Cair 100 ml	2	10500
169	Penjualan	22-04-2020	Yuli	Item-07	Sabut Cuci Piring	3	7500
170	Stok Masuk	23-04-2020	-	Item-03	Gula Pasir Putih 1 kg	35	-
170	Stok Masuk	23-04-2020	-	Item-09	Roti Tawar	16	-
170	Stok Masuk	23-04-2020	-	Item-10	Biskuit Waver Kaleng	19	-
170	Stok Masuk	23-04-2020	-	Item-13	Pisau Cukur	14	-
170	Stok Masuk	23-04-2020	-	Item-16	Balsem Putih 20 gram	5	-
170	Stok Masuk	23-04-2020	-	Item-18	Telur Ayam Negeri	76	-
170	Stok Masuk	23-04-2020	-	Item-19	Obat Diare	34	-
171	Penjualan	23-04-2020	Anggun	Item-09	Roti Tawar	3	12500
172	Penjualan	23-04-2020	Citra	Item-03	Gula Pasir Putih 1 kg	1	12500
172	Penjualan	23-04-2020	Citra	Item-06	Sabun Mandi Cair 100 ml	4	10500
172	Penjualan	23-04-2020	Citra	Item-10	Biskuit Waver Kaleng	2	24000
173	Penjualan	23-04-2020	Erlangga	Item-06	Sabun Mandi Cair 100 ml	3	10500
173	Penjualan	23-04-2020	Erlangga	Item-10	Biskuit Waver Kaleng	4	24000
174	Penjualan	23-04-2020	Fajri	Item-03	Gula Pasir Putih 1 kg	4	12500
174	Penjualan	23-04-2020	Fajri	Item-06	Sabun Mandi Cair 100 ml	1	10500
174	Penjualan	23-04-2020	Fajri	Item-09	Roti Tawar	3	12500
175	Penjualan	23-04-2020	Farah	Item-02	Bawang Putih 200 gram	1	15000
175	Penjualan	23-04-2020	Farah	Item-03	Gula Pasir Putih 1 kg	2	12500
175	Penjualan	23-04-2020	Farah	Item-10	Biskuit Waver Kaleng	1	24000
175	Penjualan	23-04-2020	Farah	Item-13	Pisau Cukur	4	6500
176	Penjualan	23-04-2020	Hengky	Item-06	Sabun Mandi Cair 100 ml	2	10500
176	Penjualan	23-04-2020	Hengky	Item-10	Biskuit Waver Kaleng	2	24000
177	Penjualan	23-04-2020	Mita, Mira	Item-01	Batere AA	2	12000
177	Penjualan	23-04-2020	Mita, Mira	Item-02	Bawang Putih 200 gram	3	15000
177	Penjualan	23-04-2020	Mita, Mira	Item-03	Gula Pasir Putih 1 kg	2	12500
177	Penjualan	23-04-2020	Mita, Mira	Item-06	Sabun Mandi Cair 100 ml	4	10500
177	Penjualan	23-04-2020	Mita, Mira	Item-09	Roti Tawar	2	12500
178	Penjualan	23-04-2020	Murni	Item-09	Roti Tawar	4	12500
179	Penjualan	23-04-2020	Rafi	Item-10	Biskuit Waver Kaleng	4	24000
180	Penjualan	23-04-2020	Rian	Item-09	Roti Tawar	4	12500
181	Penjualan	23-04-2020	Sarah	Item-03	Gula Pasir Putih 1 kg	2	12500
181	Penjualan	23-04-2020	Sarah	Item-06	Sabun Mandi Cair 100 ml	4	10500
181	Penjualan	23-04-2020	Sarah	Item-10	Biskuit Waver Kaleng	4	24000
182	Penjualan	23-04-2020	Wahyu	Item-01	Batere AA	2	12000
182	Penjualan	23-04-2020	Wahyu	Item-02	Bawang Putih 200 gram	1	15000
182	Penjualan	23-04-2020	Wahyu	Item-03	Gula Pasir Putih 1 kg	2	12500
182	Penjualan	23-04-2020	Wahyu	Item-06	Sabun Mandi Cair 100 ml	1	10500
182	Penjualan	23-04-2020	Wahyu	Item-10	Biskuit Waver Kaleng	1	24000
183	Penjualan	23-04-2020	Yati	Item-06	Sabun Mandi Cair 100 ml	4	10500
183	Penjualan	23-04-2020	Yati	Item-10	Biskuit Waver Kaleng	1	24000
184	Stok Masuk	24-04-2020	-	Item-05	Mi Goreng Instant	94	-
184	Stok Masuk	24-04-2020	-	Item-09	Roti Tawar	14	-
184	Stok Masuk	24-04-2020	-	Item-17	Obat Batuk	41	-
185	Penjualan	24-04-2020	Ardi	Item-03	Gula Pasir Putih 1 kg	4	12500
185	Penjualan	24-04-2020	Ardi	Item-05	Mi Goreng Instant	4	2600
185	Penjualan	24-04-2020	Ardi	Item-09	Roti Tawar	2	12500
186	Penjualan	24-04-2020	Diki	Item-01	Batere AA	1	12000
186	Penjualan	24-04-2020	Diki	Item-02	Bawang Putih 200 gram	1	15000
186	Penjualan	24-04-2020	Diki	Item-03	Gula Pasir Putih 1 kg	2	12500
186	Penjualan	24-04-2020	Diki	Item-05	Mi Goreng Instant	4	2600
186	Penjualan	24-04-2020	Diki	Item-13	Pisau Cukur	4	6500
187	Penjualan	24-04-2020	Komang	Item-02	Bawang Putih 200 gram	3	15000
187	Penjualan	24-04-2020	Komang	Item-03	Gula Pasir Putih 1 kg	2	12500
187	Penjualan	24-04-2020	Komang	Item-05	Mi Goreng Instant	3	2600
187	Penjualan	24-04-2020	Komang	Item-16	Balsem Putih 20 gram	1	22300
188	Penjualan	24-04-2020	Krisda	Item-05	Mi Goreng Instant	4	2600
188	Penjualan	24-04-2020	Krisda	Item-16	Balsem Putih 20 gram	2	22300
189	Penjualan	24-04-2020	Kurnia	Item-05	Mi Goreng Instant	2	2600
189	Penjualan	24-04-2020	Kurnia	Item-09	Roti Tawar	4	12500
190	Penjualan	24-04-2020	Nur	Item-05	Mi Goreng Instant	3	2600
190	Penjualan	24-04-2020	Nur	Item-09	Roti Tawar	4	12500
191	Penjualan	24-04-2020	Sandi	Item-09	Roti Tawar	1	12500
192	Penjualan	24-04-2020	Tika	Item-05	Mi Goreng Instant	4	2600
192	Penjualan	24-04-2020	Tika	Item-09	Roti Tawar	3	12500
193	Penjualan	24-04-2020	Tri	Item-13	Pisau Cukur	1	6500
194	Penjualan	24-04-2020	Wardi	Item-03	Gula Pasir Putih 1 kg	4	12500
194	Penjualan	24-04-2020	Wardi	Item-05	Mi Goreng Instant	3	2600
194	Penjualan	24-04-2020	Wardi	Item-13	Pisau Cukur	1	6500
195	Penjualan	24-04-2020	Zahra	Item-03	Gula Pasir Putih 1 kg	4	12500
195	Penjualan	24-04-2020	Zahra	Item-05	Mi Goreng Instant	3	2600
195	Penjualan	24-04-2020	Zahra	Item-13	Pisau Cukur	4	6500
196	Stok Masuk	25-04-2020	-	Item-02	Bawang Putih 200 gram	35	-
196	Stok Masuk	25-04-2020	-	Item-12	Beras Pulen 5 kg	27	-
197	Penjualan	25-04-2020	Agus	Item-01	Batere AA	3	12000
197	Penjualan	25-04-2020	Agus	Item-02	Bawang Putih 200 gram	2	15000
197	Penjualan	25-04-2020	Agus	Item-03	Gula Pasir Putih 1 kg	4	12500
197	Penjualan	25-04-2020	Agus	Item-05	Mi Goreng Instant	4	2600
197	Penjualan	25-04-2020	Agus	Item-17	Obat Batuk	1	5000
198	Penjualan	25-04-2020	Andika	Item-01	Batere AA	1	12000
198	Penjualan	25-04-2020	Andika	Item-02	Bawang Putih 200 gram	2	15000
198	Penjualan	25-04-2020	Andika	Item-03	Gula Pasir Putih 1 kg	3	12500
198	Penjualan	25-04-2020	Andika	Item-05	Mi Goreng Instant	3	2600
198	Penjualan	25-04-2020	Andika	Item-17	Obat Batuk	1	5000
199	Penjualan	25-04-2020	Ayu	Item-03	Gula Pasir Putih 1 kg	1	12500
199	Penjualan	25-04-2020	Ayu	Item-05	Mi Goreng Instant	4	2600
199	Penjualan	25-04-2020	Ayu	Item-17	Obat Batuk	4	5000
200	Penjualan	25-04-2020	Indah	Item-12	Beras Pulen 5 kg	2	63000
201	Penjualan	25-04-2020	Nita	Item-05	Mi Goreng Instant	3	2600
201	Penjualan	25-04-2020	Nita	Item-12	Beras Pulen 5 kg	3	63000
202	Penjualan	25-04-2020	Putra	Item-12	Beras Pulen 5 kg	4	63000
203	Penjualan	25-04-2020	Putri	Item-05	Mi Goreng Instant	2	2600
203	Penjualan	25-04-2020	Putri	Item-12	Beras Pulen 5 kg	4	63000
204	Penjualan	25-04-2020	Rahma	Item-16	Balsem Putih 20 gram	2	22300
205	Penjualan	25-04-2020	Rahmad	Item-05	Mi Goreng Instant	3	2600
205	Penjualan	25-04-2020	Rahmad	Item-17	Obat Batuk	1	5000
206	Penjualan	25-04-2020	Randi	Item-01	Batere AA	4	12000
206	Penjualan	25-04-2020	Randi	Item-02	Bawang Putih 200 gram	2	15000
206	Penjualan	25-04-2020	Randi	Item-03	Gula Pasir Putih 1 kg	2	12500
206	Penjualan	25-04-2020	Randi	Item-05	Mi Goreng Instant	4	2600
206	Penjualan	25-04-2020	Randi	Item-17	Obat Batuk	2	5000
207	Penjualan	25-04-2020	Rita	Item-12	Beras Pulen 5 kg	4	63000
208	Penjualan	25-04-2020	Siti	Item-01	Batere AA	4	12000
208	Penjualan	25-04-2020	Siti	Item-02	Bawang Putih 200 gram	4	15000
208	Penjualan	25-04-2020	Siti	Item-03	Gula Pasir Putih 1 kg	3	12500
208	Penjualan	25-04-2020	Siti	Item-05	Mi Goreng Instant	3	2600
208	Penjualan	25-04-2020	Siti	Item-12	Beras Pulen 5 kg	3	63000
209	Penjualan	25-04-2020	Tasya	Item-02	Bawang Putih 200 gram	3	15000
209	Penjualan	25-04-2020	Tasya	Item-03	Gula Pasir Putih 1 kg	2	12500
209	Penjualan	25-04-2020	Tasya	Item-05	Mi Goreng Instant	3	2600
209	Penjualan	25-04-2020	Tasya	Item-12	Beras Pulen 5 kg	3	63000
210	Penjualan	25-04-2020	Ujang	Item-05	Mi Goreng Instant	2	2600
210	Penjualan	25-04-2020	Ujang	Item-12	Beras Pulen 5 kg	2	63000
211	Penjualan	25-04-2020	Wulan	Item-01	Batere AA	2	12000
211	Penjualan	25-04-2020	Wulan	Item-02	Bawang Putih 200 gram	4	15000
211	Penjualan	25-04-2020	Wulan	Item-03	Gula Pasir Putih 1 kg	1	12500
211	Penjualan	25-04-2020	Wulan	Item-05	Mi Goreng Instant	4	2600
211	Penjualan	25-04-2020	Wulan	Item-17	Obat Batuk	1	5000
212	Penjualan	25-04-2020	Yansen	Item-03	Gula Pasir Putih 1 kg	1	12500
212	Penjualan	25-04-2020	Yansen	Item-05	Mi Goreng Instant	3	2600
212	Penjualan	25-04-2020	Yansen	Item-12	Beras Pulen 5 kg	2	63000
213	Stok Masuk	26-04-2020	-	Item-03	Gula Pasir Putih 1 kg	38	-
213	Stok Masuk	26-04-2020	-	Item-04	Kopi Instant	78	-
213	Stok Masuk	26-04-2020	-	Item-06	Sabun Mandi Cair 100 ml	69	-
213	Stok Masuk	26-04-2020	-	Item-09	Roti Tawar	15	-
213	Stok Masuk	26-04-2020	-	Item-18	Telur Ayam Negeri	63	-
214	Penjualan	26-04-2020	Agung	Item-04	Kopi Instant	2	5200
214	Penjualan	26-04-2020	Agung	Item-06	Sabun Mandi Cair 100 ml	3	10500
215	Penjualan	26-04-2020	Asep	Item-02	Bawang Putih 200 gram	4	15000
215	Penjualan	26-04-2020	Asep	Item-03	Gula Pasir Putih 1 kg	1	12500
215	Penjualan	26-04-2020	Asep	Item-04	Kopi Instant	3	5200
215	Penjualan	26-04-2020	Asep	Item-06	Sabun Mandi Cair 100 ml	2	10500
216	Penjualan	26-04-2020	Bagus	Item-05	Mi Goreng Instant	4	2600
217	Penjualan	26-04-2020	Fitri	Item-01	Batere AA	4	12000
217	Penjualan	26-04-2020	Fitri	Item-02	Bawang Putih 200 gram	4	15000
217	Penjualan	26-04-2020	Fitri	Item-03	Gula Pasir Putih 1 kg	2	12500
217	Penjualan	26-04-2020	Fitri	Item-04	Kopi Instant	3	5200
217	Penjualan	26-04-2020	Fitri	Item-06	Sabun Mandi Cair 100 ml	3	10500
218	Penjualan	26-04-2020	Galang	Item-02	Bawang Putih 200 gram	2	15000
218	Penjualan	26-04-2020	Galang	Item-03	Gula Pasir Putih 1 kg	4	12500
218	Penjualan	26-04-2020	Galang	Item-04	Kopi Instant	1	5200
218	Penjualan	26-04-2020	Galang	Item-05	Mi Goreng Instant	1	2600
219	Penjualan	26-04-2020	Hengky	Item-04	Kopi Instant	4	5200
219	Penjualan	26-04-2020	Hengky	Item-05	Mi Goreng Instant	1	2600
220	Penjualan	26-04-2020	Lestari	Item-05	Mi Goreng Instant	2	2600
221	Penjualan	26-04-2020	Marta	Item-04	Kopi Instant	4	5200
221	Penjualan	26-04-2020	Marta	Item-06	Sabun Mandi Cair 100 ml	1	10500
222	Penjualan	26-04-2020	Mita, Mira	Item-01	Batere AA	4	12000
222	Penjualan	26-04-2020	Mita, Mira	Item-02	Bawang Putih 200 gram	4	15000
222	Penjualan	26-04-2020	Mita, Mira	Item-03	Gula Pasir Putih 1 kg	3	12500
222	Penjualan	26-04-2020	Mita, Mira	Item-04	Kopi Instant	2	5200
222	Penjualan	26-04-2020	Mita, Mira	Item-05	Mi Goreng Instant	3	2600
223	Penjualan	26-04-2020	Rafi	Item-02	Bawang Putih 200 gram	2	15000
223	Penjualan	26-04-2020	Rafi	Item-03	Gula Pasir Putih 1 kg	2	12500
223	Penjualan	26-04-2020	Rafi	Item-04	Kopi Instant	2	5200
223	Penjualan	26-04-2020	Rafi	Item-05	Mi Goreng Instant	3	2600
224	Penjualan	26-04-2020	Rasyid	Item-03	Gula Pasir Putih 1 kg	3	12500
224	Penjualan	26-04-2020	Rasyid	Item-04	Kopi Instant	3	5200
